direction,model_family,lambda_value,lambda_token,metric,metric_value,numerical_status,reference_origin,raw_reference_value,natural_delta_vs_raw,oriented_delta_vs_raw,zscore_reference_value,natural_delta_vs_zscore,oriented_delta_vs_zscore,canonical_reference_value,natural_delta_vs_canonical,oriented_delta_vs_canonical,contrast,bootstrap_point_estimate,bootstrap_lower,bootstrap_upper,valid_replicates,invalid_replicates,support_token
bejis_2022_to_mugla_2021,baseline,0.0,lambda_0,roc_auc,0.5701742566592274,pass,persisted_step10_metric,0.5922389997163681,-0.02206474305714068,-0.02206474305714068,0.5649705351959404,0.005203721463286959,0.005203721463286959,0.5701682656206,5.9910386274175664e-06,5.9910386274175664e-06,candidate_vs_raw,-0.0220647430571406,-0.039327142407906183,-0.005245673451307227,1000,0,bootstrap_supported_negative
bejis_2022_to_mugla_2021,baseline,0.0,lambda_0,roc_auc,0.5701742566592274,pass,persisted_step10_metric,0.5922389997163681,-0.02206474305714068,-0.02206474305714068,0.5649705351959404,0.005203721463286959,0.005203721463286959,0.5701682656206,5.9910386274175664e-06,5.9910386274175664e-06,candidate_vs_zscore,0.0052037214632869,-0.0011782696936482593,0.011633448195485197,1000,0,interval_includes_zero
bejis_2022_to_mugla_2021,baseline,0.0,lambda_0,roc_auc,0.5701742566592274,pass,persisted_step10_metric,0.5922389997163681,-0.02206474305714068,-0.02206474305714068,0.5649705351959404,0.005203721463286959,0.005203721463286959,0.5701682656206,5.9910386274175664e-06,5.9910386274175664e-06,candidate_vs_canonical,5.9910386274175664e-06,-6.923218472039694e-05,7.635181231734895e-05,1000,0,interval_includes_zero
bejis_2022_to_mugla_2021,baseline,0.0,lambda_0,pr_auc,0.08355504703019692,pass,persisted_step10_metric,0.0936314654400828,-0.010076418409885879,-0.010076418409885879,0.0819456319784706,0.0016094150517263206,0.0016094150517263206,0.0835876596838193,-3.261265362237975e-05,-3.261265362237975e-05,candidate_vs_raw,-0.0100764184098858,-0.017880189365731363,-0.0032240968338674114,1000,0,bootstrap_supported_negative
bejis_2022_to_mugla_2021,baseline,0.0,lambda_0,pr_auc,0.08355504703019692,pass,persisted_step10_metric,0.0936314654400828,-0.010076418409885879,-0.010076418409885879,0.0819456319784706,0.0016094150517263206,0.0016094150517263206,0.0835876596838193,-3.261265362237975e-05,-3.261265362237975e-05,candidate_vs_zscore,0.0016094150517263,-0.0009982044926505791,0.004687575713139178,1000,0,interval_includes_zero
bejis_2022_to_mugla_2021,baseline,0.0,lambda_0,pr_auc,0.08355504703019692,pass,persisted_step10_metric,0.0936314654400828,-0.010076418409885879,-0.010076418409885879,0.0819456319784706,0.0016094150517263206,0.0016094150517263206,0.0835876596838193,-3.261265362237975e-05,-3.261265362237975e-05,candidate_vs_canonical,-3.261265362237975e-05,-0.00011854511343309011,2.2781421565804676e-05,1000,0,interval_includes_zero
bejis_2022_to_mugla_2021,baseline,0.0,lambda_0,brier_score,0.10276954009034424,pass,recomputed_from_persisted_probabilities,0.08987774657814872,0.01289179351219552,-0.01289179351219552,0.10713095471898121,-0.00436141462863697,0.00436141462863697,0.10277477245618555,-5.232365841309483e-06,5.232365841309483e-06,candidate_vs_raw,-0.0128917935121955,-0.015378656675809704,-0.010755927411185206,1000,0,bootstrap_supported_negative
bejis_2022_to_mugla_2021,baseline,0.0,lambda_0,brier_score,0.10276954009034424,pass,recomputed_from_persisted_probabilities,0.08987774657814872,0.01289179351219552,-0.01289179351219552,0.10713095471898121,-0.00436141462863697,0.00436141462863697,0.10277477245618555,-5.232365841309483e-06,5.232365841309483e-06,candidate_vs_zscore,0.0043614146286369,0.0034148229133514705,0.005329281752770741,1000,0,bootstrap_supported_positive
bejis_2022_to_mugla_2021,baseline,0.0,lambda_0,brier_score,0.10276954009034424,pass,recomputed_from_persisted_probabilities,0.08987774657814872,0.01289179351219552,-0.01289179351219552,0.10713095471898121,-0.00436141462863697,0.00436141462863697,0.10277477245618555,-5.232365841309483e-06,5.232365841309483e-06,candidate_vs_canonical,5.232365841309483e-06,-2.2078896523496093e-06,1.3039045904664896e-05,1000,0,interval_includes_zero
bejis_2022_to_mugla_2021,baseline,1e-08,lambda_1e_m8,roc_auc,0.570174243385139,pass,persisted_step10_metric,0.5922389997163681,-0.022064756331229063,-0.022064756331229063,0.5649705351959404,0.005203708189198575,0.005203708189198575,0.5701682656206,5.9777645390335366e-06,5.9777645390335366e-06,candidate_vs_raw,-0.022064756331229,-0.0393271512392618,-0.005245682374329065,1000,0,bootstrap_supported_negative
