direction,model_family,metric,max_absolute_deviation_from_canonical,magnitude_token,numerical_instability_present,instability_token,n_numerical_failures,canonical_lambda_value,grid_minimum,grid_maximum,metric_range
bejis_2022_to_mugla_2021,baseline,roc_auc,0.0065320418046355,modest_lambda_sensitivity,False,,0,0.5701682656206,0.5636362238159645,0.5737165843515363,0.01008036053557182
bejis_2022_to_mugla_2021,baseline,pr_auc,0.0012715703083611,insensitive_over_grid,False,,0,0.0835876596838193,0.08231608937545817,0.0835876596838193,0.001271570308361128
bejis_2022_to_mugla_2021,baseline,brier_score,0.0007904087615805,insensitive_over_grid,False,,0,0.10277477245618555,0.10228080583338343,0.10356518121776614,0.0012843753843827105
bejis_2022_to_mugla_2021,thermal,roc_auc,0.0015544577137051,insensitive_over_grid,False,,0,0.5066377964680288,0.5051172496258455,0.5081922541817339,0.003075004555888383
bejis_2022_to_mugla_2021,thermal,pr_auc,0.0002297141425953,insensitive_over_grid,False,,0,0.0690723899914225,0.06884267584882711,0.06926691070479127,0.0004242348559641562
bejis_2022_to_mugla_2021,thermal,brier_score,0.0005807028574216,insensitive_over_grid,False,,0,0.094293529261196,0.09387838302753496,0.09487423211861769,0.0009958490910827317
mugla_2021_to_bejis_2022,baseline,roc_auc,0.0124683850571003,modest_lambda_sensitivity,False,,0,0.6087499838699271,0.5962815988128267,0.6101542034969998,0.013872604684173062
mugla_2021_to_bejis_2022,baseline,pr_auc,0.004626253804511,insensitive_over_grid,False,,0,0.0956030273675055,0.0909767735629945,0.09591815165152494,0.004941378088530443
mugla_2021_to_bejis_2022,baseline,brier_score,0.0009323371487383,insensitive_over_grid,False,,0,0.14481377953246488,0.14388144238372658,0.14556047086922683,0.0016790284855002502
mugla_2021_to_bejis_2022,thermal,roc_auc,0.004729305116459,insensitive_over_grid,False,,0,0.560332344022195,0.559871056197174,0.5650616491386541,0.0051905929414800545
mugla_2021_to_bejis_2022,thermal,pr_auc,0.001550943671993,insensitive_over_grid,False,,0,0.0779051864706781,0.0779051864706781,0.07945613014267114,0.0015509436719930436
mugla_2021_to_bejis_2022,thermal,brier_score,0.0012584267164706,modest_lambda_sensitivity,False,,0,0.10988088754051736,0.10935003832529734,0.11113931425698803,0.0017892759316906898
manavgat_2021_to_mugla_2021,baseline,roc_auc,0.006422185447884,modest_lambda_sensitivity,False,,0,0.4856767761741509,0.47925459072626686,0.49034444127056065,0.011089850544293789
manavgat_2021_to_mugla_2021,baseline,pr_auc,0.0006854023608559,insensitive_over_grid,False,,0,0.068475238985024,0.0677898366241681,0.0686941715751003,0.0009043349509322007
manavgat_2021_to_mugla_2021,baseline,brier_score,0.0032841160352895,modest_lambda_sensitivity,False,,0,0.1234802004167747,0.1223651373551604,0.12676431645206424,0.004399179096903835
manavgat_2021_to_mugla_2021,thermal,roc_auc,0.0075015768068542,modest_lambda_sensitivity,False,,0,0.4429622459524184,0.44296224595241845,0.4504638227592726,0.007501576806854149
manavgat_2021_to_mugla_2021,thermal,pr_auc,0.0007789651278949,insensitive_over_grid,False,,0,0.0637275561671595,0.06372755616715954,0.06450652129505441,0.0007789651278948678
manavgat_2021_to_mugla_2021,thermal,brier_score,0.0039846566638341,modest_lambda_sensitivity,False,,0,0.10590562528741425,0.10192096862358005,0.10590562528741425,0.003984656663834199
mugla_2021_to_manavgat_2021,baseline,roc_auc,0.0029117479099918,insensitive_over_grid,False,,0,0.6013406984936216,0.599770638346077,0.6042524464036134,0.004481808057536396
mugla_2021_to_manavgat_2021,baseline,pr_auc,0.0006119385800652,insensitive_over_grid,False,,0,0.0479358307773327,0.047760444184545,0.04854776935739799,0.0007873251728529873
mugla_2021_to_manavgat_2021,baseline,brier_score,0.0023713791026612,modest_lambda_sensitivity,False,,0,0.10719036375672465,0.10481898465406342,0.10814505667191192,0.0033260720178485
mugla_2021_to_manavgat_2021,thermal,roc_auc,0.0037693081997842,insensitive_over_grid,False,,0,0.5604041725677953,0.5585543691801251,0.5641734807675796,0.005619111587454428
mugla_2021_to_manavgat_2021,thermal,pr_auc,0.000344430647659,insensitive_over_grid,False,,0,0.0439412607577234,0.04367883804293854,0.04428569140538245,0.0006068533624439126
mugla_2021_to_manavgat_2021,thermal,brier_score,0.0005870705140083,insensitive_over_grid,False,,0,0.06625659752245955,0.0656695270084512,0.06649672246476564,0.0008271954563144335
